text@mnk1988m	@mnk1988m	375.775	415.484	Но / почему-то до сделай море многие нас воспринимали как группу которая / ну не использовала барабаны но это не так / на самом деле на всех релизах / барабаны есть / просто эээ / в силу того что у нас довольно сильно менялся / менялась музыкальная концепция от альбома к альбому например там / на альбоме / я и Мёбиус едем в Шампань / это нас наш первый лонгплей / там есть барабаны мы просто сами на них играли / и они более такие ритуальные были то есть там какие-то эээ / мы играли #нрзб# там какие-то бочки но / да / ну он более более даркфолковый как бы такой / более этно какой-то вот / такие барабаны // 
text@dd1982m	@dd1982m	27.993	28.606	Эм привет //
text@dd1982m	@dd1982m	30.314	34.704	Для меня /  в вашем творчестве всегда на первом месте был саунд //
text@dd1982m	@dd1982m	34.71	39.275	Как вы пришли / к такой концепции / какая сейчас у вас есть //
text@dd1982m	@dd1982m	88.591	89.366	Угу //
text@dd1982m	@dd1982m	152.543	153.543	Угу //
text@dd1982m	@dd1982m	215.977	217.255	Угу //
text@dd1982m	@dd1982m	235.943	236.565	Угу //
text@dd1982m	@dd1982m	256.666	257.155	Угу //
text@dd1982m	@dd1982m	301.342	302.842	Ха-ха-ха //
text@dd1982m	@dd1982m	333.936	334.951	Угу //
text@dd1982m	@dd1982m	341.031	350.452	Слушай а вот альбом / который вы писали на Добролёте / Сделай море / там барабаны присутствовали в записи / я так понимаю что с вами какое-то время там выступал барабанщик да какой-то / на некоторых //  
text@dd1982m	@dd1982m	373.468	374.499	Угу //
text@dd1982m	@dd1982m	407.734	410.624	Ну не традиционный тип / бочки #нрзб# //
words@mnk1988m	@mnk1988m	29.05	29.349	Здравствуй
words@mnk1988m	@mnk1988m	29.349	29.648	/
words@mnk1988m	@mnk1988m	29.648	29.948	/
words@mnk1988m	@mnk1988m	40.017	40.357	Ну
words@mnk1988m	@mnk1988m	40.357	40.698	конечно
words@mnk1988m	@mnk1988m	40.698	41.038	же
words@mnk1988m	@mnk1988m	41.038	41.379	/
words@mnk1988m	@mnk1988m	41.379	41.72	сразу
words@mnk1988m	@mnk1988m	41.72	42.06	/
words@mnk1988m	@mnk1988m	42.06	42.401	в
